DATE,CO.R,CO.T,NMHC.R,NMHC.T,NOx.R,NOx.T,NO2.R,NO2.T,C6H6.R,O3.T,T,RH,AH
38056,1.966666667,1316.5,86.5,912.25,132,1167.25,108.8333333,1545.333333,8.460789617,1096.041667,12.02083337,54.88333368,0.765626462
38057,2.179444444,1244.0625,104.5,851.8020833,140.0680556,1277.1875,99.71666667,1522.697917,7.989057875,885.03125,9.833333318,64.06979144,0.775767783
38058,2.734722222,1281.5625,156.0625,1008.229167,170.1222222,1101.71875,108.8930556,1627.21875,12.1295093,1084.21875,11.29270837,51.10729162,0.663102432
38059,2.645833333,1330.555556,139.25,992.8229167,181.2930556,993.1597222,117.0069444,1595.621528,10.92288656,1245.78125,12.86631947,51.53090292,0.732294045
38060,2.442361111,1360.927083,116.9583333,943.8541667,144.9527778,1001.104167,111.1319444,1602.1875,9.631441774,1234.177083,16.01666662,48.84375006,0.849674028
38061,3.420694444,1452.010417,236.625,1138.84375,210.3777778,845.5625,116.9805556,1888.489583,16.08994642,1439.041667,17.37083332,50.32083342,0.944025369
38062,2.692638889,1339.621528,191.125,1061.763889,176.6666667,939.1493056,117.4791667,1726.534722,13.50146482,1322.475694,18.62777777,44.82500007,0.871021209
38063,2.982777778,1362.708333,207.4583333,1098.9375,194.5833333,930.4270833,113.4902778,1741,15.23870021,1405.677083,18.77291673,41.16562509,0.804919829
38064,2.629166667,1352.569444,307.2706349,1072.517361,172.2847222,901.1111111,125.4444444,1702.649306,13.79016773,1300.805556,17.76076395,44.08472221,0.826001186
38065,2.881944444,1304.208333,443.6666667,1057.916667,174.8083333,913.1770833,118.1916667,1745.34375,13.53010083,1095.708333,14.19479162,57.90416666,0.923965208
38066,2.072777778,1288.46875,407.9618056,911.8854167,129.2805556,968.3229167,109.0277778,1608.96875,8.769988891,1018.958333,15.85937502,52.1718752,0.929002109
38067,1.964722222,1252.552083,362.3333333,870.5173611,115.7583333,975.5416667,92.59305556,1601.666667,7.595973291,954.2534722,17.20486107,52.44340299,1.006323176
38068,2.079305556,1129.166667,364.606746,911.5520833,120.9194444,1062.145833,82.35972222,1595.21875,9.418329046,857.78125,17.36354167,44.8354166,0.857923157
38069,1.947083333,1122.059028,167.5416667,896.5104167,122.7194444,1073.524306,93.37222222,1556.767361,8.971691678,892.6354167,12.12256951,60.46979148,0.84250329
38070,2.059861111,1148.9375,186.8333333,888.71875,125.7347222,1040.666667,96.89305556,1541.572917,8.616582985,909.7708333,11.66875,59.09791629,0.796698408
38071,1.904166667,1084.791667,199.5833333,859.59375,112.2847222,1124.145833,91.13472222,1494.520833,8.104400533,800.2395833,11.63020832,58.79791677,0.78207683
38072,1.879166667,1084.465278,174.4583333,892.375,118.9569444,1032.111111,96.68611111,1457.618056,8.431100109,888.34375,11.66770835,51.29513875,0.676491714
38073,1.809444444,1095.010417,145.4583333,872.9895833,109.6305556,1045.90625,88.6625,1425.78125,7.758428133,900.6458333,12.58541664,46.54687486,0.641552812
38074,1.5625,1059.572917,106.3333333,783.3229167,86.84583333,1121.614583,94.16944444,1347.979167,5.568372216,783.6770833,13.46354171,45.72604167,0.663888046
38075,1.466666667,991.8611111,134.5833333,762.1180556,91.86111111,1194.045139,71.38333333,1275.34375,5.562205954,630.8159722,13.39201392,37.65486115,0.560279672
38076,2.151111111,1186.875,258.7916667,912.7708333,132.2916667,1019.75,87.79305556,1446.864583,9.509991129,1003.770833,15.51145833,34.4552084,0.594292992
38077,1.925,1180.961806,193.875,863.1354167,118.5013889,1015.319444,101.1263889,1513.416667,7.875414333,904.0034722,13.57916671,55.03576361,0.841789443
38078,2.55,1247.474785,310.125,1019.653246,157.8458333,875.9780368,95.34305556,1632.380374,12.18638406,1144.230186,16.32305718,48.85810457,0.854747381
38079,2.731805556,1288.791667,367.0833333,1059.197917,150.0763889,843.9895833,95.94583333,1708.59375,13.21288446,1197.1875,17.94479162,49.10416649,0.934888911
38080,2.420595238,1307.135417,316.3571429,989.59375,165.3869048,862.40625,116.5222222,1659.128472,10.89084703,1140.270833,19.12951387,45.6961806,0.960703126
38081,3.067361111,1202.645833,410.8611111,856.5729167,222.9722222,939.6041667,96.29861111,1562.208333,7.202948219,824.6875,18.89166672,50.16041656,1.041486991
38082,2.887738095,1283.46875,387.440873,970.3645833,188.7400794,877.0833333,112.8784722,1703.322917,10.84152904,1069.84375,16.86250006,53.94687498,1.016768307
38083,2.233333333,1200.409722,308.0416667,969.7222222,133.3569444,889.5659722,117.7464286,1663.708333,10.93645653,941.0659722,16.92222225,48.20763882,0.909054167
38084,1.6375,1051.572917,160.625,823.0104167,97.87777778,1090.052083,95.35833333,1470.125,6.979332857,685.3020833,14.31875002,54.71041652,0.867177544
38085,2.52125,1155.798611,306.875,1009.660185,150.8069444,906.5020833,83.09027778,1594.356944,11.9204227,1083.793519,14.51416671,49.13694419,0.735743859
38086,2.454166667,1100.059077,224.2916667,859.2497272,180.9375,943.350124,98.80416667,1475.079439,7.105082798,1034.505258,13.16031249,57.02702636,0.847622374
38087,1.754166667,1051.291667,143.5833333,869.6145833,116.0402778,973.8229167,115.3986111,1467.75,7.446699315,872.4375,15.08541665,49.17083333,0.78150249
38088,1.192361111,939.8958333,73.91666667,707.8958333,64.04583333,1202.659722,90.74027778,1265.506944,4.053112509,631.6354167,14.77430556,43.76250022,0.667345091
38089,0.8625,929.9270833,48.625,599.5416667,62.54305556,1376.03125,82.97638889,1217.729167,2.352380177,462.4895833,12.19687499,52.97187511,0.739850164
38090,2.054166667,1110.875,240.3333333,912.5833333,140.6916667,988.6979167,61.58333333,1542.104167,9.40547266,941.8541667,13.06249996,53.05000003,0.782190591
38091,2.169335317,1143.722222,250.7355159,959.3229167,144.0133929,898.2291667,76.66805556,1581.965278,10.32454203,1104.208333,15.49236109,47.35243069,0.78771853
38092,4.065992063,1325.875,552.7234127,1085.010417,272.6547619,814.0104167,93.66666667,1732.291667,14.57425333,1351.677083,14.82916668,51.21562497,0.83578795
38093,3.304166667,1329.951389,347.625,1068.857639,199.5319444,763.1909722,107.1989087,1792.958333,13.3392557,1221.489583,14.09826386,69.34062526,1.099155626
38094,2.039126984,1064.5625,128.0345238,828.5,112.284127,960.71875,115.5986111,1553.104167,6.478388224,838.0729167,15.54375006,64.27812509,1.098752426
38095,2,1071.010417,126.3333333,800.4166667,108.6666667,994.2708333,110.7162698,1558.979167,6.026151434,768.84375,15.58750002,64.1427085,1.121848329
38096,2,1055.475694,126.3333333,872.3611111,108.6666667,943.7361111,84.66666667,1586.715278,7.849995663,869.4340278,13.6024306,67.43055564,1.030983449
38097,0.887152778,1150.802083,62.21180556,1034.520833,70.78472222,893.8020833,84.66666667,1738.708333,13.03904437,1088.697917,16.26562496,56.91250016,0.980516795
38098,0.666666667,1174.107639,49.33333333,1078.197917,63.33333333,865.15625,82.70486111,1724.951389,14.38721574,1154.71875,19.09062506,44.99444461,0.900509616
38099,0.666666667,1158.75,49.33333333,1072.1875,63.33333333,878.3854167,61.66666667,1682.885417,14.1011198,1139.25,21.05416664,39.29687504,0.883591832
38100,3.011785714,1302.395833,431.802381,1163.041667,182.6142857,797.7708333,61.66666667,1801.53125,16.93208071,1387.947917,21.22916664,39.14375009,0.911059985
38101,2.057916667,1240.579861,229.2916667,976.1111111,114.7166667,840.6701389,61.66666667,1667.458333,10.45628732,1119.118056,20.08159728,48.51840254,1.079428864
38102,1.225555556,916.2604167,99.25,695.0208333,66.88611111,1274.21875,124.0123016,1267.270833,4.131969345,514.0833333,15.61770836,41.1937501,0.700518434
38103,1.459444444,957.90625,122.625,778.4791667,84.70277778,1143.177083,89.29166667,1367.4375,5.800886629,650.6354167,16.80312501,38.55104178,0.724722909
38104,2.178055556,1123.8125,235.6666667,985.3090278,124.0763889,944.6041667,63.10694444,1581.309028,11.31585338,953.28125,20.61215281,35.55208314,0.814211974
38105,2.751527778,1292.979167,367.7916667,1110.854167,153.4444444,792.8020833,75.79444444,1783.84375,15.18211735,1291.21875,21.08958334,42.77604159,1.010462007
38106,3.053472222,1322.486111,350.4583333,1141.055556,178.0027778,757.7708333,90.95416667,1873.045139,16.20611695,1364.822917,18.91388893,51.19513904,1.068545856
38107,2.902916667,1330.010417,261.4166667,1103.4375,171.5652778,731.96875,110.25,1916.875,14.1730979,1305.927083,17.98958333,66.56562523,1.345232688
38108,2.021666667,1097.4375,220.375,913.46875,103.4916667,918,105.1069444,1640.302083,8.654054266,904.4375,20.13437505,52.17812492,1.167313941
38109,1.587083333,1055.559028,218,858.9131944,94.93055556,955.3229167,101.925,1575.354167,7.263869264,871.8993056,19.58819454,49.55694434,1.074062855
38110,2.122361111,1164.854167,218,995.3958333,132.6583333,860.90625,84.75416667,1725.270833,11.54722952,1029.59375,21.23749995,48.74270846,1.12852494
38111,2.256388889,1143.572917,218,971.5729167,128.9805556,859.8958333,78.46805556,1795.770833,10.89686436,929.7916667,18.01874993,66.27500014,1.336803126
38112,2.094396552,1078.96875,218,942.7986111,124.6902778,916.3923611,88.57222222,1737.583333,10.18466113,870.96875,16.23402773,66.88749998,1.217420128
38113,1.951111111,1000.333333,218,897.21875,118.3555556,990.8854167,88.18333333,1607.375,8.771196983,795.2604167,14.31458333,62.78229145,1.004621025
38114,2.152638889,999.3298611,218,936.8194444,126.6069444,924.5243056,84.2,1600.881944,9.536889501,814.3125,15.45520842,55.58888876,0.938598428
38115,1.116190476,1002.177083,218,839.3958333,55.79642857,1021.385417,83.44166667,1505.28125,7.135515261,767.0520833,14.28020836,59.31250008,0.935044351
38116,3.092361111,1020.78125,218,837.1770833,186.0138889,950.2708333,91.42638889,1519.447917,6.703115927,813.6041667,15.26041657,56.91770824,0.967171764
38117,2.981190476,1110.319444,218,1041.430556,179.7123016,857.8993056,81.78571429,1747.385417,13.14250046,1010.159722,17.94166672,50.46458309,0.99805192
38118,2.719722222,1205.916667,218,1111.447917,170.7430556,811.3125,59.37152778,1804.25,15.49815364,1202.03125,18.97083328,48.04999997,0.980042803
38119,2.573333333,1213.763889,218,1062.454861,167.5652778,778.4756944,113.3944444,1799.333333,13.60141078,1182.135417,17.21527775,56.31944438,1.092093354
38120,2.338055556,1125.885417,218,974.8958333,149.2833333,878.875,91.55694444,1682.197917,10.96705844,980.4479167,17.67083326,51.33124995,1.025876117
38121,2.401867816,1121.760417,218,1069.052083,153.3736111,813.8229167,104.1097222,1669.322917,13.02602443,1157.3125,21.81979166,37.30729163,0.897880844
38122,1.748472222,1043.458333,218,930.0034722,114.0166667,938.5798611,96.96944444,1497.645833,9.053567377,975.4513889,21.03923606,34.38993053,0.806988776
38123,1.373055556,1034.375,218,841.0729167,79.12638889,1010.020833,110.2986111,1442.645833,6.947084912,773.5208333,22.35937495,34.83125005,0.887987271
38124,1.646944444,986.4166667,218,886.7291667,113.6916667,1047.395833,112.0763889,1394.65625,8.239190172,798.53125,21.34583342,26.02083321,0.635340951
38125,2.225138889,1157.871528,218,1018.611111,130.9986111,887.1631944,91.97083333,1647.513889,12.47542253,1074.913194,23.74097229,30.98472227,0.857503448
38126,2.300833333,1196.84375,218,1041.760417,131.9972222,827.8020833,79.19722222,1703.135417,12.95932064,1076.375,22.98958332,37.68958332,0.991410259
38127,2.359027778,1237.270833,218,1055.642361,138.2805556,806.1944444,89.49166667,1724.309028,13.28090674,1087.055556,23.64236111,37.434375,1.003039491
38128,2.204722222,1210.791667,218,1039.302083,140.7458333,816.8229167,98.79166667,1679.458333,12.67309172,1107.854167,23.47187508,34.728125,0.929201728
38129,1.970138889,1235.395833,218,1006.520833,113.7236111,792.6666667,109.9972222,1706.541667,11.13040166,1080.083333,22.04270838,42.35208337,1.083119335
38130,1.302083333,1058.673611,218,811.9375,75.33888889,1006.15625,109.8625,1531.729167,6.443107203,765.7881944,22.35659726,41.75972241,1.068589144
38131,1.074431818,879.4375,218,781.7291667,89.07777778,1211.947917,106.9083333,1246.354167,5.937806285,616.96875,19.94687499,25.6614582,0.558605067
38132,1.758716931,1050.090079,218,1028.584226,133.8787698,983.6640873,99.26527778,1441.299504,12.95952417,998.6744048,24.12388898,19.28746037,0.489652521
38133,2.315416667,1154.994048,218,1303.282564,149.0263889,1035.500893,73.07916667,1504.720585,21.32935198,1265.086037,26.15012914,23.62476703,0.742983446
38134,1.498958333,1087.604167,218,1040.6875,121.8784722,1022.604167,69.65416667,1615.71875,12.80706483,1027.6875,22.86354162,32.07499983,0.837297687
38135,1.701825397,1037,218,984.7708333,129.656746,984.1458333,91.7984127,1622.145833,10.69589378,918.8854167,21.33229167,41.12812505,0.990448382
38136,0.810606061,880.8784722,218,776.6319444,80.18611111,1242.711806,130.8948413,1407.34375,5.485744784,615.5763889,20.26875008,39.06319459,0.904423403
